Product,Type,Nutrient Content,Residual Content,Shelf Life (days),Batch of Harvesting,Overall Quality
Pineapple,Fruit,6,1.8,20,4,Medium
Lettuce,Vegetable,5,1.0,7,8,Low
Mango,Fruit,7,0.4,12,3,High
Cucumber,Vegetable,6,0.3,18,2,Medium
Peach,Fruit,8,0.5,10,1,High
Zucchini,Vegetable,7,0.9,14,4,Medium
Avocado,Fruit,5,1.2,6,2,Low
Orange,Fruit,9,0.4,28,6,High
Pepper,Vegetable,8,0.6,16,8,High
Eggplant,Vegetable,6,0.8,10,3,Medium
Cherry,Fruit,7,1.0,7,1,Medium
Watermelon,Fruit,8,0.3,25,5,High
Cabbage,Vegetable,5,1.1,30,4,Low
Blueberry,Fruit,9,0.4,8,7,High
Apple,Fruit,9,0.5,30,1,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,3,High
Spinach,Vegetable,6,0.8,10,1,Medium
Tomato,Vegetable,7,0.6,15,5,Medium
Grapes,Fruit,5,1.5,14,4,Medium
Broccoli,Vegetable,8,0.7,12,4,High
Potato,Vegetable,4,1.2,35,9,Low
Strawberry,Fruit,9,0.6,7,10,High
Pineapple,Fruit,6,1.8,20,9,Medium
Lettuce,Vegetable,5,1.0,7,6,Low
Mango,Fruit,7,0.4,12,7,High
Cucumber,Vegetable,6,0.3,18,4,Medium
Peach,Fruit,8,0.5,10,5,High
Zucchini,Vegetable,7,0.9,14,10,Medium
Avocado,Fruit,5,1.2,6,2,Low
Orange,Fruit,9,0.4,28,7,High
Pepper,Vegetable,8,0.6,16,1,High
Eggplant,Vegetable,6,0.8,10,3,Medium
Cherry,Fruit,7,1.0,7,5,Medium
Watermelon,Fruit,8,0.3,25,9,High
Cabbage,Vegetable,5,1.1,30,8,Low
Blueberry,Fruit,9,0.4,8,1,High
Apple,Fruit,9,0.5,30,4,High
Banana,Fruit,8,0.3,20,5,High
Carrot,Vegetable,7,0.2,25,1,High
Spinach,Vegetable,6,0.8,10,9,Medium
Tomato,Vegetable,7,0.6,15,9,Medium
Grapes,Fruit,5,1.5,14,4,Medium
Broccoli,Vegetable,8,0.7,12,4,High
Potato,Vegetable,4,1.2,35,2,Low
Strawberry,Fruit,9,0.6,7,2,High
Pineapple,Fruit,6,1.8,20,9,Medium
Lettuce,Vegetable,5,1.0,7,9,Low
Mango,Fruit,7,0.4,12,8,High
Cucumber,Vegetable,6,0.3,18,8,Medium
Peach,Fruit,8,0.5,10,4,High
Zucchini,Vegetable,7,0.9,14,4,Medium
Avocado,Fruit,5,1.2,6,10,Low
Orange,Fruit,9,0.4,28,5,High
Pepper,Vegetable,8,0.6,16,2,High
Eggplant,Vegetable,6,0.8,10,5,Medium
Cherry,Fruit,7,1.0,7,5,Medium
Watermelon,Fruit,8,0.3,25,2,High
Cabbage,Vegetable,5,1.1,30,7,Low
Blueberry,Fruit,9,0.4,8,10,High
Apple,Fruit,9,0.5,30,6,High
Banana,Fruit,8,0.3,20,3,High
Carrot,Vegetable,7,0.2,25,5,High
Spinach,Vegetable,6,0.8,10,1,Medium
Tomato,Vegetable,7,0.6,15,10,Medium
Grapes,Fruit,5,1.5,14,2,Medium
Broccoli,Vegetable,8,0.7,12,1,High
Potato,Vegetable,4,1.2,35,7,Low
Strawberry,Fruit,9,0.6,7,1,High
Pineapple,Fruit,6,1.8,20,9,Medium
Lettuce,Vegetable,5,1.0,7,5,Low
Mango,Fruit,7,0.4,12,9,High
Cucumber,Vegetable,6,0.3,18,1,Medium
Peach,Fruit,8,0.5,10,1,High
Zucchini,Vegetable,7,0.9,14,7,Medium
Avocado,Fruit,5,1.2,6,7,Low
Orange,Fruit,9,0.4,28,10,High
Pepper,Vegetable,8,0.6,16,10,High
Eggplant,Vegetable,6,0.8,10,3,Medium
Cherry,Fruit,7,1.0,7,1,Medium
Watermelon,Fruit,8,0.3,25,6,High
Cabbage,Vegetable,5,1.1,30,10,Low
Blueberry,Fruit,9,0.4,8,6,High
Apple,Fruit,9,0.5,30,10,High
Banana,Fruit,8,0.3,20,10,High
Carrot,Vegetable,7,0.2,25,9,High
Spinach,Vegetable,6,0.8,10,9,Medium
Tomato,Vegetable,7,0.6,15,2,Medium
Grapes,Fruit,5,1.5,14,10,Medium
Broccoli,Vegetable,8,0.7,12,4,High
Potato,Vegetable,4,1.2,35,10,Low
Strawberry,Fruit,9,0.6,7,4,High
Pineapple,Fruit,6,1.8,20,8,Medium
Lettuce,Vegetable,5,1.0,7,5,Low
Mango,Fruit,7,0.4,12,6,High
Cucumber,Vegetable,6,0.3,18,4,Medium
Peach,Fruit,8,0.5,10,6,High
Zucchini,Vegetable,7,0.9,14,5,Medium
Avocado,Fruit,5,1.2,6,9,Low
Orange,Fruit,9,0.4,28,2,High
Pepper,Vegetable,8,0.6,16,8,High
Eggplant,Vegetable,6,0.8,10,7,Medium
Cherry,Fruit,7,1.0,7,4,Medium
Watermelon,Fruit,8,0.3,25,6,High
Cabbage,Vegetable,5,1.1,30,9,Low
Blueberry,Fruit,9,0.4,8,10,High
Apple,Fruit,9,0.5,30,5,High
Banana,Fruit,8,0.3,20,2,High
Carrot,Vegetable,7,0.2,25,4,High
Spinach,Vegetable,6,0.8,10,10,Medium
Tomato,Vegetable,7,0.6,15,4,Medium
Grapes,Fruit,5,1.5,14,5,Medium
Broccoli,Vegetable,8,0.7,12,5,High
Potato,Vegetable,4,1.2,35,8,Low
Strawberry,Fruit,9,0.6,7,1,High
Pineapple,Fruit,6,1.8,20,1,Medium
Lettuce,Vegetable,5,1.0,7,4,Low
Mango,Fruit,7,0.4,12,1,High
Cucumber,Vegetable,6,0.3,18,2,Medium
Peach,Fruit,8,0.5,10,6,High
Zucchini,Vegetable,7,0.9,14,1,Medium
Avocado,Fruit,5,1.2,6,2,Low
Orange,Fruit,9,0.4,28,6,High
Pepper,Vegetable,8,0.6,16,6,High
Eggplant,Vegetable,6,0.8,10,5,Medium
Cherry,Fruit,7,1.0,7,4,Medium
Watermelon,Fruit,8,0.3,25,8,High
Cabbage,Vegetable,5,1.1,30,4,Low
Blueberry,Fruit,9,0.4,8,8,High
Apple,Fruit,9,0.5,30,10,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,7,High
Spinach,Vegetable,6,0.8,10,7,Medium
Tomato,Vegetable,7,0.6,15,5,Medium
Grapes,Fruit,5,1.5,14,2,Medium
Broccoli,Vegetable,8,0.7,12,4,High
Potato,Vegetable,4,1.2,35,4,Low
Strawberry,Fruit,9,0.6,7,4,High
Pineapple,Fruit,6,1.8,20,4,Medium
Lettuce,Vegetable,5,1.0,7,10,Low
Mango,Fruit,7,0.4,12,10,High
Cucumber,Vegetable,6,0.3,18,1,Medium
Peach,Fruit,8,0.5,10,4,High
Zucchini,Vegetable,7,0.9,14,2,Medium
Avocado,Fruit,5,1.2,6,1,Low
Orange,Fruit,9,0.4,28,2,High
Pepper,Vegetable,8,0.6,16,8,High
Eggplant,Vegetable,6,0.8,10,7,Medium
Cherry,Fruit,7,1.0,7,3,Medium
Watermelon,Fruit,8,0.3,25,8,High
Cabbage,Vegetable,5,1.1,30,2,Low
Blueberry,Fruit,9,0.4,8,8,High
Apple,Fruit,9,0.5,30,7,High
Banana,Fruit,8,0.3,20,1,High
Carrot,Vegetable,7,0.2,25,5,High
Spinach,Vegetable,6,0.8,10,3,Medium
Tomato,Vegetable,7,0.6,15,5,Medium
Grapes,Fruit,5,1.5,14,1,Medium
Broccoli,Vegetable,8,0.7,12,4,High
Potato,Vegetable,4,1.2,35,1,Low
Strawberry,Fruit,9,0.6,7,3,High
Pineapple,Fruit,6,1.8,20,2,Medium
Lettuce,Vegetable,5,1.0,7,8,Low
Mango,Fruit,7,0.4,12,2,High
Cucumber,Vegetable,6,0.3,18,5,Medium
Peach,Fruit,8,0.5,10,6,High
Zucchini,Vegetable,7,0.9,14,6,Medium
Avocado,Fruit,5,1.2,6,8,Low
Orange,Fruit,9,0.4,28,2,High
Pepper,Vegetable,8,0.6,16,5,High
Eggplant,Vegetable,6,0.8,10,3,Medium
Cherry,Fruit,7,1.0,7,3,Medium
Watermelon,Fruit,8,0.3,25,6,High
Cabbage,Vegetable,5,1.1,30,10,Low
Blueberry,Fruit,9,0.4,8,2,High
Apple,Fruit,9,0.5,30,8,High
Banana,Fruit,8,0.3,20,6,High
Carrot,Vegetable,7,0.2,25,3,High
Spinach,Vegetable,6,0.8,10,10,Medium
Tomato,Vegetable,7,0.6,15,4,Medium
Grapes,Fruit,5,1.5,14,3,Medium
Broccoli,Vegetable,8,0.7,12,10,High
Potato,Vegetable,4,1.2,35,10,Low
Strawberry,Fruit,9,0.6,7,9,High
Pineapple,Fruit,6,1.8,20,8,Medium
Lettuce,Vegetable,5,1.0,7,10,Low
Mango,Fruit,7,0.4,12,9,High
Cucumber,Vegetable,6,0.3,18,8,Medium
Peach,Fruit,8,0.5,10,8,High
Zucchini,Vegetable,7,0.9,14,3,Medium
Avocado,Fruit,5,1.2,6,7,Low
Orange,Fruit,9,0.4,28,2,High
Pepper,Vegetable,8,0.6,16,10,High
Eggplant,Vegetable,6,0.8,10,6,Medium
Cherry,Fruit,7,1.0,7,1,Medium
Watermelon,Fruit,8,0.3,25,10,High
Cabbage,Vegetable,5,1.1,30,1,Low
Blueberry,Fruit,9,0.4,8,3,High
Apple,Fruit,9,0.5,30,9,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,1,High
Spinach,Vegetable,6,0.8,10,7,Medium
Tomato,Vegetable,7,0.6,15,5,Medium
Grapes,Fruit,5,1.5,14,8,Medium
Broccoli,Vegetable,8,0.7,12,1,High
Potato,Vegetable,4,1.2,35,5,Low
Strawberry,Fruit,9,0.6,7,5,High
Pineapple,Fruit,6,1.8,20,10,Medium
Lettuce,Vegetable,5,1.0,7,8,Low
Mango,Fruit,7,0.4,12,2,High
Cucumber,Vegetable,6,0.3,18,3,Medium
Peach,Fruit,8,0.5,10,8,High
Zucchini,Vegetable,7,0.9,14,9,Medium
Avocado,Fruit,5,1.2,6,3,Low
Orange,Fruit,9,0.4,28,3,High
Pepper,Vegetable,8,0.6,16,8,High
Eggplant,Vegetable,6,0.8,10,4,Medium
Cherry,Fruit,7,1.0,7,3,Medium
Watermelon,Fruit,8,0.3,25,6,High
Cabbage,Vegetable,5,1.1,30,9,Low
Blueberry,Fruit,9,0.4,8,8,High
Apple,Fruit,9,0.5,30,5,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,6,High
Spinach,Vegetable,6,0.8,10,8,Medium
Tomato,Vegetable,7,0.6,15,8,Medium
Grapes,Fruit,5,1.5,14,9,Medium
Broccoli,Vegetable,8,0.7,12,5,High
Potato,Vegetable,4,1.2,35,6,Low
Strawberry,Fruit,9,0.6,7,3,High
Pineapple,Fruit,6,1.8,20,9,Medium
Lettuce,Vegetable,5,1.0,7,7,Low
Mango,Fruit,7,0.4,12,8,High
Cucumber,Vegetable,6,0.3,18,10,Medium
Peach,Fruit,8,0.5,10,3,High
Zucchini,Vegetable,7,0.9,14,5,Medium
Avocado,Fruit,5,1.2,6,9,Low
Orange,Fruit,9,0.4,28,5,High
Pepper,Vegetable,8,0.6,16,9,High
Eggplant,Vegetable,6,0.8,10,2,Medium
Cherry,Fruit,7,1.0,7,5,Medium
Watermelon,Fruit,8,0.3,25,3,High
Cabbage,Vegetable,5,1.1,30,6,Low
Blueberry,Fruit,9,0.4,8,9,High
Apple,Fruit,9,0.5,30,8,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,3,High
Spinach,Vegetable,6,0.8,10,5,Medium
Tomato,Vegetable,7,0.6,15,7,Medium
Grapes,Fruit,5,1.5,14,1,Medium
Broccoli,Vegetable,8,0.7,12,6,High
Potato,Vegetable,4,1.2,35,5,Low
Strawberry,Fruit,9,0.6,7,5,High
Pineapple,Fruit,6,1.8,20,8,Medium
Lettuce,Vegetable,5,1.0,7,9,Low
Mango,Fruit,7,0.4,12,4,High
Cucumber,Vegetable,6,0.3,18,2,Medium
Peach,Fruit,8,0.5,10,4,High
Zucchini,Vegetable,7,0.9,14,5,Medium
Avocado,Fruit,5,1.2,6,9,Low
Orange,Fruit,9,0.4,28,6,High
Pepper,Vegetable,8,0.6,16,4,High
Eggplant,Vegetable,6,0.8,10,6,Medium
Cherry,Fruit,7,1.0,7,9,Medium
Watermelon,Fruit,8,0.3,25,8,High
Cabbage,Vegetable,5,1.1,30,1,Low
Blueberry,Fruit,9,0.4,8,8,High
Apple,Fruit,9,0.5,30,3,High
Banana,Fruit,8,0.3,20,5,High
Carrot,Vegetable,7,0.2,25,9,High
Spinach,Vegetable,6,0.8,10,3,Medium
Tomato,Vegetable,7,0.6,15,7,Medium
Grapes,Fruit,5,1.5,14,8,Medium
Broccoli,Vegetable,8,0.7,12,3,High
Potato,Vegetable,4,1.2,35,8,Low
Strawberry,Fruit,9,0.6,7,6,High
Pineapple,Fruit,6,1.8,20,4,Medium
Lettuce,Vegetable,5,1.0,7,7,Low
Mango,Fruit,7,0.4,12,4,High
Cucumber,Vegetable,6,0.3,18,8,Medium
Peach,Fruit,8,0.5,10,1,High
Zucchini,Vegetable,7,0.9,14,10,Medium
Avocado,Fruit,5,1.2,6,10,Low
Orange,Fruit,9,0.4,28,4,High
Pepper,Vegetable,8,0.6,16,2,High
Eggplant,Vegetable,6,0.8,10,2,Medium
Cherry,Fruit,7,1.0,7,2,Medium
Watermelon,Fruit,8,0.3,25,2,High
Cabbage,Vegetable,5,1.1,30,1,Low
Blueberry,Fruit,9,0.4,8,1,High
Apple,Fruit,9,0.5,30,4,High
Banana,Fruit,8,0.3,20,7,High
Carrot,Vegetable,7,0.2,25,6,High
Spinach,Vegetable,6,0.8,10,2,Medium
Tomato,Vegetable,7,0.6,15,3,Medium
Grapes,Fruit,5,1.5,14,8,Medium
Broccoli,Vegetable,8,0.7,12,9,High
Potato,Vegetable,4,1.2,35,1,Low
Strawberry,Fruit,9,0.6,7,3,High
Pineapple,Fruit,6,1.8,20,4,Medium
Lettuce,Vegetable,5,1.0,7,10,Low
Mango,Fruit,7,0.4,12,9,High
Cucumber,Vegetable,6,0.3,18,7,Medium
Peach,Fruit,8,0.5,10,5,High
Zucchini,Vegetable,7,0.9,14,9,Medium
Avocado,Fruit,5,1.2,6,3,Low
Orange,Fruit,9,0.4,28,4,High
Pepper,Vegetable,8,0.6,16,1,High
Eggplant,Vegetable,6,0.8,10,10,Medium
Cherry,Fruit,7,1.0,7,6,Medium
Watermelon,Fruit,8,0.3,25,2,High
Cabbage,Vegetable,5,1.1,30,9,Low
Blueberry,Fruit,9,0.4,8,1,High
Apple,Fruit,9,0.5,30,3,High
Banana,Fruit,8,0.3,20,8,High
Carrot,Vegetable,7,0.2,25,9,High
Spinach,Vegetable,6,0.8,10,10,Medium
Tomato,Vegetable,7,0.6,15,7,Medium
Grapes,Fruit,5,1.5,14,2,Medium
Broccoli,Vegetable,8,0.7,12,2,High
Potato,Vegetable,4,1.2,35,6,Low
Strawberry,Fruit,9,0.6,7,10,High
Pineapple,Fruit,6,1.8,20,4,Medium
Lettuce,Vegetable,5,1.0,7,4,Low
Mango,Fruit,7,0.4,12,5,High
Cucumber,Vegetable,6,0.3,18,6,Medium
Peach,Fruit,8,0.5,10,5,High
Zucchini,Vegetable,7,0.9,14,5,Medium
Avocado,Fruit,5,1.2,6,7,Low
Orange,Fruit,9,0.4,28,9,High
Pepper,Vegetable,8,0.6,16,10,High
Eggplant,Vegetable,6,0.8,10,10,Medium
Cherry,Fruit,7,1.0,7,5,Medium
Watermelon,Fruit,8,0.3,25,2,High
Cabbage,Vegetable,5,1.1,30,4,Low
Blueberry,Fruit,9,0.4,8,7,High
Apple,Fruit,9,0.5,30,10,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,5,High
Spinach,Vegetable,6,0.8,10,2,Medium
Tomato,Vegetable,7,0.6,15,1,Medium
Grapes,Fruit,5,1.5,14,10,Medium
Broccoli,Vegetable,8,0.7,12,6,High
Potato,Vegetable,4,1.2,35,2,Low
Strawberry,Fruit,9,0.6,7,9,High
Pineapple,Fruit,6,1.8,20,6,Medium
Lettuce,Vegetable,5,1.0,7,2,Low
Mango,Fruit,7,0.4,12,2,High
Cucumber,Vegetable,6,0.3,18,10,Medium
Peach,Fruit,8,0.5,10,4,High
Zucchini,Vegetable,7,0.9,14,5,Medium
Avocado,Fruit,5,1.2,6,5,Low
Orange,Fruit,9,0.4,28,7,High
Pepper,Vegetable,8,0.6,16,7,High
Eggplant,Vegetable,6,0.8,10,2,Medium
Cherry,Fruit,7,1.0,7,4,Medium
Watermelon,Fruit,8,0.3,25,8,High
Cabbage,Vegetable,5,1.1,30,9,Low
Blueberry,Fruit,9,0.4,8,5,High
Apple,Fruit,9,0.5,30,2,High
Banana,Fruit,8,0.3,20,8,High
Carrot,Vegetable,7,0.2,25,1,High
Spinach,Vegetable,6,0.8,10,8,Medium
Tomato,Vegetable,7,0.6,15,5,Medium
Grapes,Fruit,5,1.5,14,3,Medium
Broccoli,Vegetable,8,0.7,12,9,High
Potato,Vegetable,4,1.2,35,6,Low
Strawberry,Fruit,9,0.6,7,4,High
Pineapple,Fruit,6,1.8,20,1,Medium
Lettuce,Vegetable,5,1.0,7,7,Low
Mango,Fruit,7,0.4,12,10,High
Cucumber,Vegetable,6,0.3,18,7,Medium
Peach,Fruit,8,0.5,10,10,High
Zucchini,Vegetable,7,0.9,14,1,Medium
Avocado,Fruit,5,1.2,6,5,Low
Orange,Fruit,9,0.4,28,7,High
Pepper,Vegetable,8,0.6,16,5,High
Eggplant,Vegetable,6,0.8,10,7,Medium
Cherry,Fruit,7,1.0,7,2,Medium
Watermelon,Fruit,8,0.3,25,5,High
Cabbage,Vegetable,5,1.1,30,4,Low
Blueberry,Fruit,9,0.4,8,3,High
Apple,Fruit,9,0.5,30,10,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,5,High
Spinach,Vegetable,6,0.8,10,5,Medium
Tomato,Vegetable,7,0.6,15,7,Medium
Grapes,Fruit,5,1.5,14,8,Medium
Broccoli,Vegetable,8,0.7,12,6,High
Potato,Vegetable,4,1.2,35,5,Low
Strawberry,Fruit,9,0.6,7,9,High
Pineapple,Fruit,6,1.8,20,5,Medium
Lettuce,Vegetable,5,1.0,7,9,Low
Mango,Fruit,7,0.4,12,3,High
Cucumber,Vegetable,6,0.3,18,2,Medium
Peach,Fruit,8,0.5,10,7,High
Zucchini,Vegetable,7,0.9,14,4,Medium
Avocado,Fruit,5,1.2,6,4,Low
Orange,Fruit,9,0.4,28,6,High
Pepper,Vegetable,8,0.6,16,1,High
Eggplant,Vegetable,6,0.8,10,4,Medium
Cherry,Fruit,7,1.0,7,2,Medium
Watermelon,Fruit,8,0.3,25,9,High
Cabbage,Vegetable,5,1.1,30,8,Low
Blueberry,Fruit,9,0.4,8,8,High
Apple,Fruit,9,0.5,30,9,High
Banana,Fruit,8,0.3,20,8,High
Carrot,Vegetable,7,0.2,25,6,High
Spinach,Vegetable,6,0.8,10,10,Medium
Tomato,Vegetable,7,0.6,15,4,Medium
Grapes,Fruit,5,1.5,14,6,Medium
Broccoli,Vegetable,8,0.7,12,3,High
Potato,Vegetable,4,1.2,35,3,Low
Strawberry,Fruit,9,0.6,7,7,High
Pineapple,Fruit,6,1.8,20,9,Medium
Lettuce,Vegetable,5,1.0,7,4,Low
Mango,Fruit,7,0.4,12,6,High
Cucumber,Vegetable,6,0.3,18,9,Medium
Peach,Fruit,8,0.5,10,9,High
Zucchini,Vegetable,7,0.9,14,2,Medium
Avocado,Fruit,5,1.2,6,2,Low
Orange,Fruit,9,0.4,28,6,High
Pepper,Vegetable,8,0.6,16,4,High
Eggplant,Vegetable,6,0.8,10,1,Medium
Cherry,Fruit,7,1.0,7,7,Medium
Watermelon,Fruit,8,0.3,25,4,High
Cabbage,Vegetable,5,1.1,30,6,Low
Blueberry,Fruit,9,0.4,8,5,High
Apple,Fruit,9,0.5,30,4,High
Banana,Fruit,8,0.3,20,4,High
Carrot,Vegetable,7,0.2,25,5,High
Spinach,Vegetable,6,0.8,10,10,Medium
Tomato,Vegetable,7,0.6,15,9,Medium
Grapes,Fruit,5,1.5,14,7,Medium
Broccoli,Vegetable,8,0.7,12,10,High
Potato,Vegetable,4,1.2,35,9,Low
Strawberry,Fruit,9,0.6,7,7,High
Pineapple,Fruit,6,1.8,20,8,Medium
Lettuce,Vegetable,5,1.0,7,7,Low
Mango,Fruit,7,0.4,12,3,High
Cucumber,Vegetable,6,0.3,18,10,Medium
Peach,Fruit,8,0.5,10,7,High
Zucchini,Vegetable,7,0.9,14,7,Medium
Avocado,Fruit,5,1.2,6,5,Low
Orange,Fruit,9,0.4,28,4,High
Pepper,Vegetable,8,0.6,16,1,High
Eggplant,Vegetable,6,0.8,10,5,Medium
Cherry,Fruit,7,1.0,7,8,Medium
Watermelon,Fruit,8,0.3,25,1,High
Cabbage,Vegetable,5,1.1,30,9,Low
Blueberry,Fruit,9,0.4,8,10,High
Apple,Fruit,9,0.5,30,9,High
Banana,Fruit,8,0.3,20,9,High
Carrot,Vegetable,7,0.2,25,3,High
Spinach,Vegetable,6,0.8,10,1,Medium
Tomato,Vegetable,7,0.6,15,9,Medium
Grapes,Fruit,5,1.5,14,8,Medium
Broccoli,Vegetable,8,0.7,12,10,High
Potato,Vegetable,4,1.2,35,9,Low
Strawberry,Fruit,9,0.6,7,1,High
Pineapple,Fruit,6,1.8,20,7,Medium
Lettuce,Vegetable,5,1.0,7,6,Low
Mango,Fruit,7,0.4,12,7,High
Cucumber,Vegetable,6,0.3,18,9,Medium
Peach,Fruit,8,0.5,10,10,High
Zucchini,Vegetable,7,0.9,14,4,Medium
Avocado,Fruit,5,1.2,6,1,Low
Orange,Fruit,9,0.4,28,5,High
Pepper,Vegetable,8,0.6,16,7,High
Eggplant,Vegetable,6,0.8,10,3,Medium
Cherry,Fruit,7,1.0,7,1,Medium
Watermelon,Fruit,8,0.3,25,8,High
Cabbage,Vegetable,5,1.1,30,8,Low
Blueberry,Fruit,9,0.4,8,6,High
Apple,Fruit,9,0.5,30,2,High
Banana,Fruit,8,0.3,20,10,High
Carrot,Vegetable,7,0.2,25,2,High
Spinach,Vegetable,6,0.8,10,4,Medium
Tomato,Vegetable,7,0.6,15,8,Medium
Grapes,Fruit,5,1.5,14,9,Medium
Broccoli,Vegetable,8,0.7,12,4,High
Potato,Vegetable,4,1.2,35,6,Low
Strawberry,Fruit,9,0.6,7,4,High
Pineapple,Fruit,6,1.8,20,2,Medium
Lettuce,Vegetable,5,1.0,7,7,Low
Mango,Fruit,7,0.4,12,8,High
Cucumber,Vegetable,6,0.3,18,1,Medium
Peach,Fruit,8,0.5,10,7,High
Zucchini,Vegetable,7,0.9,14,1,Medium
Avocado,Fruit,5,1.2,6,8,Low
Orange,Fruit,9,0.4,28,4,High
Pepper,Vegetable,8,0.6,16,3,High
Eggplant,Vegetable,6,0.8,10,4,Medium
Cherry,Fruit,7,1.0,7,4,Medium
Watermelon,Fruit,8,0.3,25,4,High
Cabbage,Vegetable,5,1.1,30,5,Low
Blueberry,Fruit,9,0.4,8,3,High
